Date_ID,day_date,full_date,day_number,day_name,day_name_short,is_week_day,week_number,month_number,month_name,month_name_short,quarter_number,year
19960101,01/01/1996,01-Jan-96,1,monday,mon,yes,1,1,january,jan,1,1996
19960102,02/01/1996,02-Jan-96,2,tuesday,tue,yes,1,1,january,jan,1,1996
19960103,03/01/1996,03-Jan-96,3,wednesday,wed,yes,1,1,january,jan,1,1996
19960104,04/01/1996,04-Jan-96,4,thursday,thu,yes,1,1,january,jan,1,1996
19960105,05/01/1996,05-Jan-96,5,friday,fri,yes,1,1,january,jan,1,1996
19960106,06/01/1996,06-Jan-96,6,saturday,sat,no,1,1,january,jan,1,1996
19960107,07/01/1996,07-Jan-96,7,sunday,sun,no,2,1,january,jan,1,1996
19960108,08/01/1996,08-Jan-96,8,monday,mon,yes,2,1,january,jan,1,1996
19960109,09/01/1996,09-Jan-96,9,tuesday,tue,yes,2,1,january,jan,1,1996
19960110,10/01/1996,10-Jan-96,10,wednesday,wed,yes,2,1,january,jan,1,1996
19960111,11/01/1996,11-Jan-96,11,thursday,thu,yes,2,1,january,jan,1,1996
19960112,12/01/1996,12-Jan-96,12,friday,fri,yes,2,1,january,jan,1,1996
19960113,13/01/1996,13-Jan-96,13,saturday,sat,no,2,1,january,jan,1,1996
19960114,14/01/1996,14-Jan-96,14,sunday,sun,no,3,1,january,jan,1,1996
19960115,15/01/1996,15-Jan-96,15,monday,mon,yes,3,1,january,jan,1,1996
19960116,16/01/1996,16-Jan-96,16,tuesday,tue,yes,3,1,january,jan,1,1996
19960117,17/01/1996,17-Jan-96,17,wednesday,wed,yes,3,1,january,jan,1,1996
19960118,18/01/1996,18-Jan-96,18,thursday,thu,yes,3,1,january,jan,1,1996
19960119,19/01/1996,19-Jan-96,19,friday,fri,yes,3,1,january,jan,1,1996
19960120,20/01/1996,20-Jan-96,20,saturday,sat,no,3,1,january,jan,1,1996
19960121,21/01/1996,21-Jan-96,21,sunday,sun,no,4,1,january,jan,1,1996
19960122,22/01/1996,22-Jan-96,22,monday,mon,yes,4,1,january,jan,1,1996
19960123,23/01/1996,23-Jan-96,23,tuesday,tue,yes,4,1,january,jan,1,1996
19960124,24/01/1996,24-Jan-96,24,wednesday,wed,yes,4,1,january,jan,1,1996
19960125,25/01/1996,25-Jan-96,25,thursday,thu,yes,4,1,january,jan,1,1996
19960126,26/01/1996,26-Jan-96,26,friday,fri,yes,4,1,january,jan,1,1996
19960127,27/01/1996,27-Jan-96,27,saturday,sat,no,4,1,january,jan,1,1996
19960128,28/01/1996,28-Jan-96,28,sunday,sun,no,5,1,january,jan,1,1996
19960129,29/01/1996,29-Jan-96,29,monday,mon,yes,5,1,january,jan,1,1996
19960130,30/01/1996,30-Jan-96,30,tuesday,tue,yes,5,1,january,jan,1,1996
19960131,31/01/1996,31-Jan-96,31,wednesday,wed,yes,5,1,january,jan,1,1996
19960201,01/02/1996,01-Feb-96,1,thursday,thu,yes,5,2,february,feb,1,1996
19960202,02/02/1996,02-Feb-96,2,friday,fri,yes,5,2,february,feb,1,1996
19960203,03/02/1996,03-Feb-96,3,saturday,sat,no,5,2,february,feb,1,1996
19960204,04/02/1996,04-Feb-96,4,sunday,sun,no,6,2,february,feb,1,1996
19960205,05/02/1996,05-Feb-96,5,monday,mon,yes,6,2,february,feb,1,1996
19960206,06/02/1996,06-Feb-96,6,tuesday,tue,yes,6,2,february,feb,1,1996
